474-PA-0, Leiden, 2022-09-03T18:01:07
4-VIT-73, Leiden, 2022-09-22T14:04:07
F-614-TL, Leiden, 2022-09-29T09:46:07
NT-IV-46, Leiden, 2022-09-16T10:20:07
502-AE-2, Leiden, 2022-09-19T07:18:07
DL-WU-18, Leiden, 2022-09-16T17:20:07
DLD-65-B, Leiden, 2022-09-06T07:00:07
645-EX-8, Leiden, 2022-09-22T06:58:07
923-LN-6, Leiden, 2022-09-14T23:51:07
F-614-TL, Leiden, 2022-08-31T22:06:07
89-MC-LG, Leiden, 2022-09-07T05:36:07
128-KH-7, Leiden, 2022-09-25T11:40:07
241-HV-6, Leiden, 2022-09-01T15:10:07
SWT-28-A, Leiden, 2022-09-13T23:47:07
90-EF-JY, Leiden, 2022-08-31T23:44:07
406-RV-6, Leiden, 2022-09-06T19:35:07
WRX-34-S, Leiden, 2022-09-04T06:40:07
RMT-76-F, Leiden, 2022-09-13T18:51:07
TS-00-TI, Leiden, 2022-09-07T17:12:07
QGL-63-H, Leiden, 2022-09-27T13:02:07
666-HP-6, Leiden, 2022-09-27T01:51:07
DL-WU-18, Leiden, 2022-09-17T09:04:07
LZ-37-QV, Leiden, 2022-09-28T18:04:07
825-QD-6, Leiden, 2022-09-23T08:29:07
594-VV-4, Leiden, 2022-09-15T22:24:07
URN-96-A, Leiden, 2022-09-15T19:43:07
695-HI-3, Leiden, 2022-09-10T18:54:07
PXS-08-S, Leiden, 2022-09-16T19:10:07
YEN-82-B, Leiden, 2022-09-12T00:22:07
SMW-17-W, Leiden, 2022-08-31T06:42:07
FPF-84-Y, Leiden, 2022-09-23T09:08:07
YAV-87-P, Leiden, 2022-09-13T13:34:07
UPD-33-J, Leiden, 2022-09-07T17:08:07
736-BU-0, Leiden, 2022-09-12T19:50:07
RMT-76-F, Leiden, 2022-09-10T19:44:07
831-AP-8, Leiden, 2022-09-07T22:32:07
LPN-90-Y, Leiden, 2022-09-03T10:38:07
859-KU-4, Leiden, 2022-09-24T19:17:07
586-MY-2, Leiden, 2022-09-09T20:53:07
128-KH-7, Leiden, 2022-09-02T14:00:07
TGH-35-L, Leiden, 2022-09-28T16:55:07
527-LD-0, Leiden, 2022-09-20T19:39:07
ES-33-NU, Leiden, 2022-09-05T14:47:07
SMW-17-W, Leiden, 2022-09-27T18:48:07
